masc_words_ita	fem_words_ita
attivo	affettuoso
avventuroso	infantile
aggressivo	allegra
ambizioso	impegnato
analitico	comunitario
assertivo	compassionevole
atletico	connesso
autonomo	considerato
vantaggioso	cooperativo
sfidante	dipendente
competitivo	emozionale
coraggioso	empatico
deciso	femminile
decisivo	lusingabile
decisionale	gentile
determinato	onesto
dominante	interpersonale
dominatore	interdipendente
forzato	interpersonale
avido	gentile
testardo	parentela
gerarchico	fedele
ostile	modesto
impulsivo	rompiballe
indipendente	nutriente
individuale	gradevole
intellettuale	educato
guidante	silenzioso
logico	responsabile
maschile	sensibile
oggettivo	sottomesso
opinionato	supportivo
sincero	compassionevole
persistente	tenero
principale	insieme
spericolato	fiducioso
testardo	comprensivo
superiore	caldo
sicuro di sé	lamentoso
autosufficiente	cedevole
autonomo	
